,Unnamed: 0,id,season,salary,PLAYER_AGE_y,RAPM,POSITION_Center,POSITION_Center-Forward,POSITION_Forward,POSITION_Forward-Center,POSITION_Forward-Guard,POSITION_Guard,POSITION_Guard-Forward,HEIGHT_METER,WEIGHT_KG,DRAFT_NUMBER,DRAFT_YEAR,GP,GS,PTS,AST,STL,BLK,TOV,PF,OREB,DREB,MIN,FG_PCT,FGA,FG3_PCT,FG3A,FT_PCT,FTA,ROOKIE,ROOKIE_AGE,FROM_US,coef_perc_rank,Undrafted,Undrafted_Rookie,log_rapm,RAPM_2,log_rapm_2,log_salary,PLAYER_AGE,PLAYER_AGE_2,BMI,log_BMI,next_season_salary,season_merge,log_next_season_salary,DISPLAY_FIRST_LAST,log_Salary,log_Predicted,Salary,Predicted,log_Difference,Difference
961,961,203082.0,2020/21,13500000.0,30.0,-1.13,0,0,0,0,0,0,1,1.98,93.44,8.0,2012,46,2,15.6,2.3,1.0,0.5,1.6,1.9,0.3,3.1,29.3,0.412,13.4,0.337,5.7,0.87,3.0,0.0,,1,8.01,0.0,0.0,,1.2768999999999997,0.8228148686819818,16.41820031748273,30.0,900.0,23.83430262218141,3.212225867721379,,,,Terrence Ross,16.41820031748273,16.546115806927553,13500000.999999993,15342170.042866688,-0.127915489444824,-1842169.0428666957
962,962,1626179.0,2020/21,18900000.0,27.0,-0.4,0,0,0,0,0,1,0,1.85,86.18,16.0,2015,69,69,20.4,4.2,1.3,0.4,1.9,1.7,0.7,3.7,34.5,0.45,16.4,0.389,8.3,0.8170000000000001,2.9,0.0,,1,13.34,0.0,0.0,-0.5108256237659907,0.16,0.1484200051182733,16.75467253293992,27.0,729.0,25.18042366691015,3.2650119431968845,,,,Terry Rozier,16.75467253293992,16.406568427046615,18900000.999999974,13343880.217667252,0.34810410589330587,5556120.782332722
963,963,201152.0,2020/21,13545000.0,33.0,2.68,0,0,1,0,0,0,0,2.03,106.59,12.0,2007,68,23,12.1,4.3,1.1,0.6,2.0,2.2,2.5,3.8,24.3,0.5589999999999999,9.7,0.267,0.7,0.628,1.7,0.0,,1,8.16,0.0,0.0,1.3029127521808397,7.182400000000001,2.1019855061147306,16.421528107329312,33.0,1089.0,25.86570894707468,3.2908507130778832,,,,Thaddeus Young,16.421528107329312,16.531523161050018,13545001.000000019,15119912.793146964,-0.10999505372070573,-1574911.7931469455
964,964,1628418.0,2020/21,8333333.0,23.0,-0.52,0,1,0,0,0,0,0,2.08,112.49,42.0,2017,10,10,14.3,1.5,0.4,0.8,1.1,3.1,1.8,4.3,27.1,0.648,9.1,0.429,2.1,0.667,2.4,0.0,,1,47.41,0.0,0.0,-0.7339691750802004,0.2704,0.2393318115107342,15.93577417416436,23.0,529.0,26.000832100591712,3.295867684069881,,,,Thomas Bryant,15.93577417416436,14.591017312307649,8333333.999999981,2171692.362922663,1.3447568618567107,6161641.6370773185
965,965,203501.0,2020/21,18975000.0,29.0,-0.26,0,0,0,0,0,0,1,1.96,92.99,24.0,2013,70,31,16.6,1.8,0.4,0.2,0.9,1.6,0.3,3.0,28.4,0.447,13.0,0.391,7.6,0.816,2.5,0.0,,1,80.22,0.0,0.0,-0.3011050927839216,0.0676,0.065413138548232,16.75863293394689,29.0,841.0,24.20605997501041,3.227084440806677,,,,Tim Hardaway Jr.,16.75863293394689,16.12353721392539,18975000.999999993,10054563.951620676,0.6350957200214999,8920437.048379317
966,966,1627789.0,2020/21,1824003.0,26.0,-1.12,0,0,0,0,0,0,1,2.01,97.52,24.0,2016,58,7,6.4,1.2,0.6,0.1,0.7,1.7,0.5,1.7,18.1,0.365,6.1,0.314,4.1,0.8140000000000001,0.7,0.0,,0,71.27,0.0,0.0,,1.2544000000000002,0.8128838621622788,14.416544642596463,26.0,676.0,24.13801638573303,3.2243812973336463,,,,Timothe Luwawu-Cabarrot,14.416544642596463,15.091966439792493,1824003.999999996,3583915.3709876663,-0.6754217971960301,-1759911.3709876703
967,967,202699.0,2020/21,34358850.0,28.0,1.22,0,0,1,0,0,0,0,2.01,102.51,19.0,2011,12,12,21.8,3.5,1.0,0.4,1.5,2.4,0.8,7.7,36.5,0.488,17.9,0.372,3.6,0.875,3.3,0.0,,1,93.33,0.0,0.0,0.7975071958841881,1.4884,0.9116399336587276,17.352370214474632,28.0,784.0,25.373134328358216,3.2723458529287304,,,,Tobias Harris,17.352370214474632,16.527400627667262,34358851.00000001,15057708.755122416,0.8249695868073701,19301142.24487759
968,968,203107.0,2020/21,10000000.0,29.0,0.4,0,0,0,0,0,1,0,2.01,95.25,32.0,2012,58,18,7.7,4.7,0.7,0.2,1.7,1.5,0.5,1.9,22.5,0.514,5.7,0.356,2.0,0.848,1.4,0.0,,0,7.539999999999999,0.0,0.0,0.3364722366212129,0.16,0.1484200051182733,16.118095750958314,29.0,841.0,23.57614910522017,3.2017764240537976,,,,Tomas Satoransky,16.118095750958314,15.43849632301471,10000000.999999996,5068200.2030881895,0.6795994279436037,4931800.796911807
969,969,1628396.0,2020/21,3542060.0,23.0,0.23,0,1,0,0,0,0,0,2.08,112.49,28.0,2017,22,0,8.7,0.9,0.4,0.8,1.2,1.5,2.1,4.0,18.0,0.6559999999999999,5.5,0.0,0.1,0.705,2.0,0.0,,1,30.69,0.0,0.0,0.2070141693843261,0.0529,0.0515482618805766,15.080219319085147,23.0,529.0,26.000832100591712,3.295867684069881,,,,Tony Bradley,15.080219319085147,14.339380524361387,3542061.0000000014,1688549.652007318,0.7408387947237607,1853511.3479926833
970,970,203503.0,2020/21,12178571.0,29.0,0.02,0,0,0,0,0,1,0,1.98,96.62,20.0,2013,47,23,5.3,1.3,0.3,0.2,0.4,1.6,0.4,2.0,21.1,0.515,3.6,0.569,2.3,1.0,0.2,0.0,,1,62.01,0.0,0.0,0.0198026272961797,0.0004,0.0003999200213269,16.315188571993406,29.0,841.0,24.64544434241404,3.2443659473596407,,,,Tony Snell,16.315188571993406,15.220084939277678,12178571.999999993,4073792.490019769,1.0951036327157286,8104779.509980224
