,PLAYER_ID,SCORE,id,player_names,position,team
285,201569,-0.42701047902011185,201569,Eric Gordon,G,HOU
46,1627782,-0.43193008579572,1627782,Wayne Selden,G,CHI
81,1628400,-0.436200742343532,1628400,Semi Ojeleye,F,BOS
148,1629103,-0.4389927592786313,1629103,Kelan Martin,F,IND
316,202357,-0.44074794821629126,202357,Nemanja Bjelica,F,MIA
2,1626145,-0.4428742573469938,1626145,Tyus Jones,G,MEM
299,201942,-0.44376373755028853,201942,DeMar DeRozan,G,SAS
183,1629649,-0.44881832747928946,1629649,Ignas Brazdeikis,F,ORL
304,201976,-0.4523626465907587,201976,Patrick Beverley,G,LAC
4,1626153,-0.46495028035692576,1626153,Delon Wright,G,SAC
38,1627752,-0.4649584244485629,1627752,Taurean Prince,F,CLE
342,203084,-0.46998552257926085,203084,Harrison Barnes,F,SAC
318,202681,-0.47302809303779897,202681,Kyrie Irving,G,BKN
36,1627750,-0.48507946521884715,1627750,Jamal Murray,G,DEN
43,1627774,-0.49058730933396666,1627774,Jake Layman,F,MIN
275,200794,-0.4911752702573549,200794,Paul Millsap,F,DEN
374,203503,-0.49700537602781625,203503,Tony Snell,G,ATL
176,1629640,-0.4973701062130901,1629640,Keldon Johnson,F,SAS
373,203501,-0.501203024965068,203501,Tim Hardaway Jr,G,DAL
28,1627732,-0.5013674254770886,1627732,Ben Simmons,G,PHI
210,1629726,-0.5262771863518373,1629726,Garrison Mathews,G,WAS
216,1630163,-0.5282471712341316,1630163,LaMelo Ball,G,CHA
306,201988,-0.5348599115215498,201988,Patrick Mills,G,SAS
390,203924,-0.5409298038756872,203924,Jerami Grant,F,DET
110,1628978,-0.5437008560316253,1628978,Donte DiVincenzo,G,MIL
339,203081,-0.5558834103385186,203081,Damian Lillard,G,POR
413,2730,-0.5566697528173323,2730,Dwight Howard,C,PHI
32,1627742,-0.5570749354932443,1627742,Brandon Ingram,F,NOP
152,1629162,-0.5583305672796974,1629162,Jordan McLaughlin,G,MIN
76,1628386,-0.5684616290965933,1628386,Jarrett Allen,C,CLE
