,0
1070,201587
1071,201588
1072,201599
1073,201609
1074,201933
1075,201935
1076,201937
1077,201942
1078,201950
1079,201952
1080,201959
1081,201960
1082,201961
1083,201976
1084,201980
1085,201988
1086,202066
1087,202083
1088,202323
1089,202324
1090,202329
1091,202330
1092,202331
1093,202334
1094,202335
1095,202339
1096,202340
1097,202355
1098,202357
1099,202681
1100,202683
1101,202684
1102,202685
1103,202687
1104,202688
1105,202689
1106,202692
1107,202693
1108,202694
1109,202695
1110,202696
1111,202697
1112,202699
1113,202709
1114,202710
1115,202711
1116,202722
1117,202734
1118,202738
1119,202954
1120,203076
1121,203077
1122,203078
1123,203081
1124,203082
1125,203083
1126,203084
1127,203085
1128,203086
1129,203087
1130,203089
1131,203090
1132,203095
1133,203107
1134,203109
1135,203110
1136,203114
1137,203115
1138,203118
1139,203124
1140,203145
1141,203200
1142,203210
1143,203382
1144,203457
1145,203458
1146,203459
1147,203463
1148,203468
1149,203469
1150,203471
1151,203473
1152,203476
1153,203482
1154,203484
1155,203486
1156,203487
1157,203488
1158,203490
1159,203496
1160,203497
1161,203500
1162,203501
1163,203503
1164,203504
1165,203507
1166,203516
1167,203521
1168,203524
1169,203526
1170,203552
1171,203584
1172,203585
1173,203895
1174,203897
1175,203901
1176,203903
1177,203914
1178,203915
1179,203918
1180,203920
1181,203922
1182,203924
1183,203925
1184,203926
1185,203932
1186,203933
1187,203935
1188,203937
1189,203939
1190,203943
1191,203944
1192,203952
1193,203953
1194,203954
1195,203957
1196,203960
1197,203967
1198,203991
1199,203992
1200,203998
1201,203999
1202,204001
1203,204020
1204,204025
1205,204038
1206,204060
1207,2199
1208,2544
1209,2546
1210,2594
1211,2730
1212,2772
1213,101107
1214,101108
1215,101139
1216,101141
1217,101150
1218,1626143
1219,1626144
1220,1626145
1221,1626149
1222,1626153
1223,1626156
1224,1626157
1225,1626158
1226,1626161
1227,1626162
1228,1626163
1229,1626164
1230,1626167
1231,1626168
1232,1626171
1233,1626172
1234,1626174
1235,1626178
1236,1626179
1237,1626181
1238,1626188
1239,1626192
1240,1626196
1241,1626203
1242,1626204
1243,1626209
1244,1626220
1245,1626224
1246,1626246
1247,1626259
1248,1627732
1249,1627734
1250,1627736
1251,1627737
1252,1627739
1253,1627741
1254,1627742
1255,1627745
1256,1627746
1257,1627747
1258,1627748
1259,1627749
1260,1627750
1261,1627751
1262,1627752
1263,1627756
1264,1627759
1265,1627761
1266,1627763
1267,1627767
1268,1627774
1269,1627775
1270,1627777
1271,1627780
1272,1627783
1273,1627788
1274,1627789
1275,1627812
1276,1627814
1277,1627823
1278,1627826
1279,1627827
1280,1627832
1281,1627846
1282,1627853
1283,1627854
1284,1627863
1285,1627884
1286,1627885
1287,1627936
1288,1628021
1289,1628035
1290,1628365
1291,1628369
1292,1628370
1293,1628371
1294,1628372
1295,1628373
1296,1628374
1297,1628378
1298,1628379
1299,1628381
1300,1628382
1301,1628384
1302,1628385
1303,1628386
1304,1628389
1305,1628390
1306,1628391
1307,1628394
1308,1628395
1309,1628396
1310,1628398
1311,1628401
1312,1628402
1313,1628404
1314,1628407
1315,1628410
1316,1628411
1317,1628412
1318,1628415
1319,1628418
1320,1628420
1321,1628422
1322,1628425
1323,1628436
1324,1628449
1325,1628464
1326,1628467
1327,1628470
1328,1628476
1329,1628513
1330,1628518
1331,1628960
1332,1628961
1333,1628963
1334,1628964
1335,1628966
1336,1628968
1337,1628969
1338,1628970
1339,1628971
1340,1628972
1341,1628973
1342,1628975
1343,1628976
1344,1628977
1345,1628978
1346,1628980
1347,1628981
1348,1628983
1349,1628984
1350,1628987
1351,1628988
1352,1628989
1353,1628990
1354,1628991
1355,1628993
1356,1628995
1357,1628998
1358,1629001
1359,1629004
1360,1629006
1361,1629008
1362,1629010
1363,1629011
1364,1629012
1365,1629013
1366,1629014
1367,1629016
1368,1629018
1369,1629019
1370,1629021
1371,1629022
1372,1629023
1373,1629026
1374,1629027
1375,1629029
1376,1629033
1377,1629035
1378,1629044
1379,1629052
1380,1629056
1381,1629057
1382,1629058
1383,1629059
1384,1629060
1385,1629065
1386,1629066
1387,1629067
1388,1629076
1389,1629103
1390,1629109
1391,1629130
1392,1629133
1393,1629134
1394,1629151
1395,1629162
1396,1629185
1397,1629234
1398,1629598
1399,1629605
1400,1629611
1401,1629620
1402,1629622
1403,1629628
1404,1629629
1405,1629630
1406,1629631
1407,1629632
1408,1629633
1409,1629634
1410,1629636
1411,1629637
1412,1629638
1413,1629639
1414,1629641
1415,1629642
1416,1629645
1417,1629647
1418,1629652
1419,1629655
1420,1629658
1421,1629661
1422,1629662
1423,1629667
1424,1629672
1425,1629673
1426,1629678
1427,1629680
1428,1629684
1429,1629713
1430,1629726
1431,1629735
1432,1629740
1433,1629741
1434,1629744
1435,1629750
1436,1629752
1437,1713
1438,200746
1439,200752
1440,200755
1441,200757
1442,200765
1443,200768
1444,200782
1445,200794
1446,201143
1447,201144
1448,201145
1449,201152
1450,201158
1451,201162
1452,201188
1453,201229
1454,201565
1455,201566
1456,201567
1457,201568
1458,201569
1459,201571
