,PLAYER_ID,SCORE,id,player_names,position,team
241,1630197,0.3085280930176781,1630197,Aleksej Pokusevski,F,OKC
212,1630162,0.30717617189582835,1630162,Anthony Edwards,G,MIN
333,203076,0.3051877243839206,203076,Anthony Davis,F,LAL
6,1626157,0.28317516490793304,1626157,Karl-Anthony Towns,C,MIN
280,201567,0.28315138802783024,201567,Kevin Love,F,CLE
346,203114,0.27524879091295007,203114,Khris Middleton,F,MIL
372,203506,0.2685900848955242,203506,Victor Oladipo,G,MIA
125,1629011,0.23882463642276364,1629011,Mitchell Robinson,C,NYK
217,1630167,0.21794478384031166,1630167,Obi Toppin,F,NYK
401,203994,0.21447109215719737,203994,Jusuf Nurkic,C,POR
46,1627783,0.20775500989237622,1627783,Pascal Siakam,F,TOR
353,203463,0.20494526408503264,203463,Ben McLemore,G,LAL
373,203507,0.20155385744504076,203507,Giannis Antetokounmpo,F,MIL
357,203473,0.1786213797743216,203473,Dewayne Dedmon,C,MIA
153,1629308,0.17402969029337495,1629308,Juan Toscano-Anderson,F,GSW
18,1626174,0.16775560773333958,1626174,Christian Wood,F,HOU
390,203933,0.16371334094003065,203933,TJ Warren,F,IND
154,1629599,0.15184866575623682,1629599,Amir Coffey,G,LAC
330,202722,0.15012938524911598,202722,Davis Bertans,F,WAS
29,1627734,0.13659256990240037,1627734,Domantas Sabonis,F,IND
170,1629637,0.13323020307370928,1629637,Jaxson Hayes,C,NOP
326,202704,0.12395752202855927,202704,Reggie Jackson,G,LAC
123,1629006,0.0976512173136353,1629006,Josh Okogie,G,MIN
338,203084,0.09641063835679538,203084,Harrison Barnes,F,SAC
206,1629723,0.09624026951879357,1629723,John Konchar,G,MEM
270,200768,0.08381048333438383,200768,Kyle Lowry,G,TOR
50,1627823,0.05398852542242031,1627823,Juan Hernangomez,F,MIN
314,202397,0.031247998082758573,202397,Ishmael Smith,G,WAS
256,1630231,0.021588385332193778,1630231,KJ Martin,F,HOU
43,1627774,0.011104529878479083,1627774,Jake Layman,F,MIN
21,1626192,-0.004914815850035871,1626192,Pat Connaughton,G,MIL
157,1629611,-0.016867352614143096,1629611,Terance Mann,G,LAC
364,203490,-0.01893605449249368,203490,Otto Porter,F,ORL
69,1628378,-0.025806685995148602,1628378,Donovan Mitchell,G,UTA
31,1627741,-0.05222395377784602,1627741,Buddy Hield,G,SAC
294,201937,-0.054917945172350026,201937,Ricky Rubio,G,MIN
211,1629833,-0.07124900762928767,1629833,Keljin Blevins,G,POR
118,1628998,-0.07833700203446567,1628998,Cody Martin,F,CHA
148,1629139,-0.08029482574476696,1629139,Yuta Watanabe,G,TOR
216,1630166,-0.08373488201786229,1630166,Deni Avdija,F,WAS
274,201143,-0.08506098785028508,201143,Al Horford,C,OKC
356,203471,-0.08828961877805315,203471,Dennis Schroeder,G,LAL
351,203457,-0.09085849503690832,203457,Nerlens Noel,C,NYK
65,1628370,-0.09166625116688436,1628370,Malik Monk,G,CHA
176,1629643,-0.0981851859574917,1629643,Chuma Okeke,F,ORL
377,203585,-0.11321990692892557,203585,Rodney McGruder,G,DET
232,1630183,-0.13441895495063685,1630183,Jaden McDaniels,F,MIN
162,1629628,-0.1396302714276002,1629628,RJ Barrett,F,NYK
316,202683,-0.14116511527620965,202683,Enes Kanter,C,POR
8,1626159,-0.16861479814118352,1626159,Justise Winslow,F,MEM
201,1629684,-0.17473424389161565,1629684,Grant Williams,F,BOS
94,1628960,-0.18090032965583913,1628960,Grayson Allen,G,MEM
189,1629663,-0.18422835260552303,1629663,Louis King,F,SAC
234,1630186,-0.18859615669417593,1630186,Jahmi'us Ramsey,G,SAC
307,202330,-0.20228344565158723,202330,Gordon Hayward,F,CHA
30,1627736,-0.2069171879353659,1627736,Malik Beasley,G,MIN
405,204456,-0.23488945811590298,204456,TJ McConnell,G,IND
406,2544,-0.23789239213874386,2544,LeBron James,F,LAL
380,203901,-0.24451654917186508,203901,Elfrid Payton,G,NYK
1,101150,-0.25204583482171655,101150,Louis Williams,G,ATL
82,1628408,-0.26801720202352153,1628408,PJ Dozier,G,DEN
107,1628978,-0.2741162269155575,1628978,Donte DiVincenzo,G,MIL
84,1628418,-0.2802022879491005,1628418,Thomas Bryant,C,WAS
25,1626220,-0.2819217718612049,1626220,Royce O'Neale,F,UTA
74,1628389,-0.290731078368664,1628389,Bam Adebayo,C,MIA
117,1628997,-0.29206628405372514,1628997,Caleb Martin,F,CHA
283,201571,-0.30119736894400506,201571,DJ Augustin,G,HOU
98,1628966,-0.3214394436746552,1628966,Keita Bates-Diop,F,SAS
315,202681,-0.3368491822734709,202681,Kyrie Irving,G,BKN
33,1627745,-0.34876758292998855,1627745,Damian Jones,C,SAC
49,1627814,-0.34960023975600824,1627814,Damion Lee,G,GSW
298,201950,-0.37328775363999794,201950,Jrue Holiday,G,MIL
113,1628990,-0.3806742645689708,1628990,Chandler Hutchison,F,WAS
403,204001,-0.39758412065313453,204001,Kristaps Porzingis,F,DAL
291,201609,-0.3991210058686504,201609,Goran Dragic,G,MIA
400,203992,-0.4140084948522297,203992,Bogdan Bogdanovic,G,ATL
197,1629676,-0.42496339870396144,1629676,Isaiah Roby,F,OKC
359,203482,-0.44653242285657435,203482,Kelly Olynyk,F,HOU
313,202357,-0.44887822783391645,202357,Nemanja Bjelica,F,MIA
242,1630198,-0.4552473478793041,1630198,Isaiah Joe,G,PHI
203,1629712,-0.4628921317105313,1629712,Didi Louzada,G,NOP
52,1627827,-0.48647884587307855,1627827,Dorian Finney-Smith,F,DAL
19,1626179,-0.4916941735950178,1626179,Terry Rozier,G,CHA
169,1629636,-0.5093180496036378,1629636,Darius Garland,G,CLE
184,1629653,-0.5145789236777224,1629653,Devon Dotson,G,CHI
85,1628420,-0.5400902160590506,1628420,Monte Morris,G,DEN
193,1629671,-0.5460978197276344,1629671,Miye Oni,G,UTA
130,1629020,-0.5557382773364627,1629020,Jarred Vanderbilt,F,MIN
384,203918,-0.5789425460361788,203918,Rodney Hood,G,TOR
134,1629026,-0.5892416649555836,1629026,Kenrich Williams,G,OKC
185,1629655,-0.5993571471218176,1629655,Daniel Gafford,F,WAS
309,202334,-0.6082371094943588,202334,Ed Davis,C,MIN
122,1629004,-0.6098214990002789,1629004,Sviatoslav Mykhailiuk,G,OKC
250,1630214,-0.628298198431272,1630214,Xavier Tillman,F,MEM
331,202734,-0.6617676661139401,202734,E'Twaun Moore,G,PHX
68,1628374,-0.6630296430465098,1628374,Lauri Markkanen,F,CHI
56,1627863,-0.6634944748418685,1627863,Danuel House,F,HOU
146,1629130,-0.6662607141552047,1629130,Duncan Robinson,F,MIA
26,1626224,-0.6715916103132995,1626224,Cedi Osman,F,CLE
288,201587,-0.6739373824070538,201587,Nicolas Batum,G,LAC
306,202324,-0.6747331158793421,202324,Derrick Favors,F,UTA
226,1630176,-0.676764283215335,1630176,Vernon Carey,F,CHA
47,1627788,-0.6850974413833448,1627788,Furkan Korkmaz,G,PHI
345,203110,-0.6989199074139878,203110,Draymond Green,F,GSW
335,203081,-0.7086347219365826,203081,Damian Lillard,G,POR
147,1629134,-0.7162438550643268,1629134,Kendrick Nunn,G,MIA
385,203920,-0.7183510800298331,203920,Khem Birch,C,TOR
227,1630177,-0.7213027794305049,1630177,Theo Maledon,G,OKC
260,1630240,-0.7260718550789461,1630240,Saben Lee,G,DET
36,1627750,-0.7436701534310298,1627750,Jamal Murray,G,DEN
20,1626181,-0.7620434193772316,1626181,Norman Powell,G,POR
263,1630264,-0.7755879466998746,1630264,Anthony Gill,F,WAS
340,203087,-0.7785716045721638,203087,Jeremy Lamb,G,IND
5,1626156,-0.7863076063626082,1626156,D'Angelo Russell,G,MIN
196,1629675,-0.7897869638436116,1629675,Naz Reid,C,MIN
290,201599,-0.7965991370647421,201599,DeAndre Jordan,C,BKN
24,1626204,-0.8033259992619153,1626204,Larry Nance Jr,F,CLE
317,202684,-0.8094582993513344,202684,Tristan Thompson,C,BOS
174,1629641,-0.8195904552518735,1629641,Romeo Langford,G,BOS
80,1628402,-0.844476098288656,1628402,Frank Jackson,G,DET
285,201577,-0.8485143475497552,201577,Robin Lopez,C,WAS
257,1630233,-0.8612351519586463,1630233,Nathan Knight,F,ATL
161,1629627,-0.8676770630448045,1629627,Zion Williamson,F,NOP
136,1629028,-0.8829124458335312,1629028,Deandre Ayton,C,PHX
53,1627832,-0.8848174634147526,1627832,Fred VanVleet,G,TOR
328,202710,-0.8917367113071157,202710,Jimmy Butler,F,MIA
39,1627756,-0.8926166130272231,1627756,Denzel Valentine,G,CHI
367,203497,-0.9012856311009977,203497,Rudy Gobert,C,UTA
198,1629677,-0.926655119710427,1629677,Luka Samanic,F,SAS
295,201939,-0.9410006714821331,201939,Stephen Curry,G,GSW
145,1629103,-0.9614751194340622,1629103,Kelan Martin,F,IND
350,203210,-0.9641926500481304,203210,JaMychal Green,F,DEN
344,203109,-0.9739286450646641,203109,Jae Crowder,F,PHX
96,1628963,-0.9836685393701723,1628963,Marvin Bagley,F,SAC
188,1629661,-1.0106753536778472,1629661,Cameron Johnson,F,PHX
254,1630219,-1.0215431593156374,1630219,Skylar Mays,G,ATL
110,1628984,-1.0270126437856937,1628984,Devonte Graham,G,CHA
272,200794,-1.0293956763792844,200794,Paul Millsap,F,DEN
399,203991,-1.045965807947103,203991,Clint Capela,C,ATL
310,202339,-1.0463358913449663,202339,Eric Bledsoe,G,NOP
182,1629651,-1.0501673360567898,1629651,Nicolas Claxton,F,BKN
150,1629185,-1.0620589979272066,1629185,Chris Chiozza,G,BKN
376,203552,-1.0632035375684068,203552,Seth Curry,G,PHI
135,1629027,-1.0843531996547022,1629027,Trae Young,G,ATL
160,1629626,-1.1003735517728859,1629626,Bol Bol,C,DEN
299,201959,-1.1191583059794126,201959,Taj Gibson,F,NYK
112,1628989,-1.1193814614680027,1628989,Kevin Huerter,G,ATL
279,201566,-1.129158973836759,201566,Russell Westbrook,G,WAS
38,1627752,-1.1342290582726935,1627752,Taurean Prince,F,CLE
324,202696,-1.1752178835906972,202696,Nikola Vucevic,C,CHI
365,203493,-1.1755813298297841,203493,Reggie Bullock,G,NYK
347,203115,-1.1920190382834626,203115,Will Barton,G,DEN
133,1629023,-1.2010334008080181,1629023,PJ Washington,F,CHA
219,1630169,-1.2049080073788325,1630169,Tyrese Haliburton,G,SAC
276,201145,-1.2138766824027463,201145,Jeff Green,F,BKN
101,1628971,-1.2624661223150078,1628971,Bruce Brown,G,BKN
76,1628396,-1.2826822330733716,1628396,Tony Bradley,C,OKC
221,1630171,-1.2943294403611192,1630171,Isaac Okoro,F,CLE
323,202695,-1.3005339790175499,202695,Kawhi Leonard,F,LAC
108,1628981,-1.3089742169353842,1628981,Bruno Fernando,F,ATL
63,1628368,-1.3172782274483226,1628368,De'Aaron Fox,G,SAC
151,1629216,-1.329808573718171,1629216,Gabe Vincent,G,MIA
395,203952,-1.3335522288576274,203952,Andrew Wiggins,F,GSW
13,1626166,-1.3417567935220631,1626166,Cameron Payne,G,PHX
3,1626149,-1.3645364394939379,1626149,Montrezl Harrell,F,LAL
210,1629750,-1.3683712903788336,1629750,Javonte Green,G,CHI
177,1629644,-1.3688967160560965,1629644,KZ Okpala,F,MIA
73,1628386,-1.3806929152281888,1628386,Jarrett Allen,C,CLE
165,1629631,-1.402649521339764,1629631,De'Andre Hunter,F,ATL
91,1628470,-1.4034872869763058,1628470,Torrey Craig,F,PHX
71,1628381,-1.4251246183598618,1628381,John Collins,F,ATL
126,1629012,-1.4400058234706976,1629012,Collin Sexton,G,CLE
99,1628969,-1.4837690146845117,1628969,Mikal Bridges,F,PHX
259,1630238,-1.4997255353570984,1630238,Malik Fitts,F,LAC
61,1628366,-1.5005163638587513,1628366,Lonzo Ball,G,NOP
394,203944,-1.5106215100757736,203944,Julius Randle,F,NYK
104,1628975,-1.5189410720120204,1628975,Jevon Carter,G,PHX
77,1628398,-1.5311905855255752,1628398,Kyle Kuzma,F,LAL
282,201569,-1.5352768845123774,201569,Eric Gordon,G,HOU
368,203500,-1.5448263083731388,203500,Steven Adams,C,NOP
186,1629659,-1.5659276885170024,1629659,Talen Horton-Tucker,G,LAL
159,1629622,-1.5868023696812976,1629622,Max Strus,G,MIA
246,1630203,-1.5884086889623608,1630203,Grant Riller,G,CHA
369,203501,-1.5884221251931812,203501,Tim Hardaway Jr,G,DAL
