,id,season,salary,PLAYER_AGE_y,RAPM,POSITION_Center,POSITION_Center-Forward,POSITION_Forward,POSITION_Forward-Center,POSITION_Forward-Guard,POSITION_Guard,POSITION_Guard-Forward,HEIGHT_METER,WEIGHT_KG,DRAFT_NUMBER,DRAFT_YEAR,GP,GS,PTS,AST,STL,BLK,TOV,PF,OREB,DREB,MIN,FG_PCT,FGA,FG3_PCT,FG3A,FT_PCT,FTA,ROOKIE,ROOKIE_AGE,FROM_US,coef_perc_rank,Undrafted,Undrafted_Rookie,log_rapm,RAPM_2,log_rapm_2,log_salary,PLAYER_AGE,PLAYER_AGE_2,BMI,log_BMI,next_season_salary,season_merge,log_next_season_salary,DISPLAY_FIRST_LAST
31,203462.0,2016/17,2350999.0,,-0.37,0,0,0,0,0,1,0,1.96,92.99,29.0,2013,12,0,7.9,1.9,0.3,0.3,1.2,0.6,0.6,1.8,15.4,0.557,5.1,0.308,1.1,0.7190000000000001,2.7,,,1,57.830000000000005,0.0,,-0.4620354595965587,0.1369,0.12830526015292384,14.670351327522207,,,24.20605997501041,3.2270844408066774,,,,Archie Goodwin
32,202620.0,2016/17,426775.0,,-0.16,0,0,0,1,0,0,0,2.06,115.67,61.0,Undrafted,8,0,0.5,0.3,0.0,0.1,0.3,0.4,0.3,0.5,3.5,0.5,0.5,0.0,0.0,0.0,0.0,,,1,43.53,1.0,,-0.17435338714477774,0.0256,0.025277807184268544,12.964014564401266,,,27.257517202375343,3.3413595178545834,,,,Arinze Onuaku
33,203382.0,2016/17,6500000.0,30.0,1.41,0,1,0,0,0,0,0,2.08,117.93,61.0,Undrafted,75,2,4.9,0.4,0.2,0.5,0.7,2.2,1.5,3.0,15.5,0.513,3.7,0.0,0.0,0.84,1.3,0.0,,0,59.74,1.0,0.0,0.8796267475025636,1.9880999999999998,1.0946377339126985,15.687312888712007,30.0,900.0,27.258228550295858,3.341384691296465,4300000.0,2016/17,15.274125813221904,Aron Baynes
34,201167.0,2016/17,12500000.0,,-1.75,0,0,0,0,0,1,0,1.96,95.25,27.0,2007,61,45,8.4,1.3,0.3,0.1,0.7,1.7,0.1,1.9,25.9,0.44,6.9,0.411,2.5,0.892,1.5,,,1,40.98,0.0,,,3.0625,1.4017985476558559,16.341239282272525,,,24.794356518117453,3.250155728392724,5328652.0,2016/17,15.488609043752552,Arron Afflalo
35,203085.0,2016/17,11000000.0,24.0,-0.52,0,0,0,0,0,1,0,1.93,90.72,10.0,2012,74,29,12.0,2.8,0.6,0.1,1.6,2.5,0.3,1.9,27.8,0.442,9.9,0.371,4.0,0.691,2.6,0.0,,1,12.2,0.0,0.0,-0.7339691750802004,0.27040000000000003,0.23933181151073424,16.213405921671733,24.0,576.0,24.355016242046766,3.232976589832333,11825000.0,2016/17,16.285726576908864,Austin Rivers
36,202340.0,2016/17,8269663.0,26.0,-0.26,0,0,0,0,0,1,0,1.9,81.65,19.0,2010,55,55,16.3,2.2,1.2,0.2,1.6,2.6,1.2,4.9,33.4,0.4629999999999999,14.1,0.39,5.0,0.731,1.7,0.0,,1,93.44,0.0,0.0,-0.3011050927839216,0.06760000000000001,0.06541313854823202,15.928104437395785,26.0,676.0,22.61772853185596,3.161997638992275,8808989.0,2016/17,15.991283348888654,Avery Bradley
37,1626253.0,2016/17,977534.0,24.0,-0.14,0,0,0,0,0,0,1,2.01,95.25,61.0,Undrafted,2,0,5.5,0.0,0.5,0.5,0.0,2.5,0.0,0.5,20.7,0.625,4.0,0.3329999999999999,1.5,0.0,0.0,0.0,,0,53.28000000000001,1.0,0.0,-0.15082288973458366,0.019600000000000003,0.019410393519823328,13.792789375827251,24.0,576.0,23.576149105220175,3.2017764240537976,,,,Axel Toupane
38,1627791.0,2016/17,281968.0,,-0.18,0,0,1,0,0,0,0,2.06,106.59,51.0,2016,3,0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.7,3.3,0.0,1.0,0.0,0.3,0.0,0.0,,,0,51.18000000000001,0.0,,-0.19845093872383826,0.0324,0.031886188862321745,12.549552414799592,,,25.11782448864172,3.2626180118369628,,,,Ben Bentil
39,203463.0,2016/17,4008882.0,24.0,-0.9,0,0,0,0,0,1,0,1.9,88.45,7.0,2013,61,27,8.1,0.8,0.5,0.1,1.0,1.8,0.3,1.8,19.3,0.43,6.9,0.382,2.8,0.753,1.5,0.0,,1,49.18,0.0,0.0,-2.302585092994046,0.81,0.5933268452777344,15.204023206863527,24.0,576.0,24.50138504155125,3.238732766044306,5200000.0,2016/17,15.46416937585933,Ben McLemore
40,2757.0,2016/17,980431.0,,0.67,0,0,0,0,0,1,0,1.9,92.99,28.0,2004,39,0,5.8,3.4,0.3,0.0,0.9,0.7,0.2,1.3,14.4,0.467,5.1,0.344,0.8,0.941,0.9,,,0,83.24000000000001,0.0,,0.5128236264286637,0.4489000000000001,0.3708046478445396,13.795748569842312,,,25.759002770083104,3.286870968873683,,,,Beno Udrih
